"TABLE_CATALOG","TABLE_SCHEMA","TABLE_NAME","COLUMN_NAME","ORDINAL_POSITION","COLUMN_DEFAULT","IS_NULLABLE","DATA_TYPE","CHARACTER_MAXIMUM_LENGTH","CHARACTER_OCTET_LENGTH","NUMERIC_PRECISION","NUMERIC_PRECISION_RADIX","NUMERIC_SCALE","DATETIME_PRECISION","CHARACTER_SET_CATALOG","CHARACTER_SET_SCHEMA","CHARACTER_SET_NAME","COLLATION_CATALOG","COLLATION_SCHEMA","COLLATION_NAME","DOMAIN_CATALOG","DOMAIN_SCHEMA","DOMAIN_NAME"
aws_stage,sf_odata,raw__hr_kpi_t_sf_newsf_employees_historia,employee_status_tr,6,,YES,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
aws_stage,sf_odata,raw__hr_kpi_t_sf_newsf_employees_historia,employee_status_en,7,,YES,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
aws_stage,sf_odata,raw__hr_kpi_t_sf_newsf_employees_historia,ronesans_rank_tr,8,,YES,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
aws_stage,sf_odata,raw__hr_kpi_t_sf_newsf_employees_historia,ronesans_rank_en,9,,YES,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
aws_stage,sf_odata,raw__hr_kpi_t_sf_newsf_employees_historia,ronesans_rank_personal_tr,10,,YES,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
aws_stage,sf_odata,raw__hr_kpi_t_sf_newsf_employees_historia,ronesans_rank_personal_en,11,,YES,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
aws_stage,sf_odata,raw__hr_kpi_t_sf_newsf_employees_historia,workplace_tr,35,,YES,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
aws_stage,sf_odata,raw__hr_kpi_t_sf_newsf_employees_historia,workplace_en,36,,YES,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
aws_stage,sf_odata,raw__hr_kpi_t_sf_newsf_employees_historia,employee_area_en,50,,YES,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
aws_stage,sf_odata,raw__hr_kpi_t_sf_newsf_employees_historia,employee_group_tr,54,,YES,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
aws_stage,sf_odata,raw__hr_kpi_t_sf_newsf_employees_historia,employee_group_en,55,,YES,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
aws_stage,sf_odata,raw__hr_kpi_t_sf_newsf_employees_historia,employee_sub_group_tr,57,,YES,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
aws_stage,sf_odata,raw__hr_kpi_t_sf_newsf_employees_historia,employee_sub_group_en,58,,YES,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
aws_stage,sf_odata,raw__hr_kpi_t_sf_newsf_employees_historia,work_area_tr,80,,YES,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
aws_stage,sf_odata,raw__hr_kpi_t_sf_newsf_employees_historia,work_area_en,81,,YES,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
aws_stage,sf_odata,raw__hr_kpi_t_sf_newsf_employees_historia,real_termination_reason_tr,83,,YES,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
aws_stage,sf_odata,raw__hr_kpi_t_sf_newsf_employees_historia,real_termination_reason_en,84,,YES,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
aws_stage,sf_odata,raw__hr_kpi_t_sf_newsf_employees_historia,marital_status_name_tr,88,,YES,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
aws_stage,sf_odata,raw__hr_kpi_t_sf_newsf_employees_historia,marital_status_name_en,89,,YES,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
aws_stage,sf_odata,raw__hr_kpi_t_sf_newsf_employees_historia,preferred_language_tr,91,,YES,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
aws_stage,sf_odata,raw__hr_kpi_t_sf_newsf_employees_historia,preferred_language_en,92,,YES,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
aws_stage,sf_odata,raw__hr_kpi_t_sf_newsf_employees_historia,employee_type_name_tr,98,,YES,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
aws_stage,sf_odata,raw__hr_kpi_t_sf_newsf_employees_historia,employee_type_name_en,99,,YES,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
aws_stage,sf_odata,raw__hr_kpi_t_sf_newsf_employees_historia,report_organization_tr,100,,YES,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
aws_stage,sf_odata,raw__hr_kpi_t_sf_newsf_employees_historia,position_city_tr,106,,YES,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
